,0
0,"[20.4382749822034, 73.66882657495456, 184.6821973380403, 196.83154749723565, 190.95888997959435, 171.07886911867348, 170.81412211027688, 132.6019632855514]"
1,"[517.1806275702479, 161.77720700826444, 1193.0749249586777, 1180.4842610247933, 1192.343670479339, 1188.4791114049588, 1181.6868940165289, 1181.6771787107439]"
2,"[66.69192239809497, 62.09978372321051, 63.86246474809636, 60.84524353046878, 66.59981446486508, 61.984836156330445, 61.89304841974203]"
3,"[0.1860546875116255, 4.068682074607078, 10.272480793481412, 10.272798408740718, 10.261337896103663, 10.288958755339204, 10.283066582598952, 10.277103253676993]"
4,"[2.124669682283837, 2.124519113403184]"
